  0   0          0.0000
  0   1          0.0000
  0   2          0.0000
  0   3          0.0000
  0   4          0.0000
  0   5          0.0000
  0   6          0.0000
  0   7          0.0000
  0   8          0.0000
  0   9          0.0000
  0  10          0.0000
  1   0          0.0000
  1   1          0.0955
  1   2          0.1816
  1   3          0.2500
  1   4          0.2939
  1   5          0.3090
  1   6          0.2939
  1   7          0.2500
  1   8          0.1816
  1   9          0.0955
  1  10          0.0000
  2   0          0.0000
  2   1          0.1816
  2   2          0.3455
  2   3          0.4755
  2   4          0.5590
  2   5          0.5878
  2   6          0.5590
  2   7          0.4755
  2   8          0.3455
  2   9          0.1816
  2  10          0.0000
  3   0          0.0000
  3   1          0.2500
  3   2          0.4755
  3   3          0.6545
  3   4          0.7694
  3   5          0.8090
  3   6          0.7694
  3   7          0.6545
  3   8          0.4755
  3   9          0.2500
  3  10          0.0000
  4   0          0.0000
  4   1          0.2939
  4   2          0.5590
  4   3          0.7694
  4   4          0.9045
  4   5          0.9511
  4   6          0.9045
  4   7          0.7694
  4   8          0.5590
  4   9          0.2939
  4  10          0.0000
  5   0          0.0000
  5   1          0.3090
  5   2          0.5878
  5   3          0.8090
  5   4          0.9511
  5   5          1.0000
  5   6          0.9511
  5   7          0.8090
  5   8          0.5878
  5   9          0.3090
  5  10          0.0000
  6   0          0.0000
  6   1          0.2939
  6   2          0.5590
  6   3          0.7694
  6   4          0.9045
  6   5          0.9511
  6   6          0.9045
  6   7          0.7694
  6   8          0.5590
  6   9          0.2939
  6  10          0.0000
  7   0          0.0000
  7   1          0.2500
  7   2          0.4755
  7   3          0.6545
  7   4          0.7694
  7   5          0.8090
  7   6          0.7694
  7   7          0.6545
  7   8          0.4755
  7   9          0.2500
  7  10          0.0000
  8   0          0.0000
  8   1          0.1816
  8   2          0.3455
  8   3          0.4755
  8   4          0.5590
  8   5          0.5878
  8   6          0.5590
  8   7          0.4755
  8   8          0.3455
  8   9          0.1816
  8  10          0.0000
  9   0          0.0000
  9   1          0.0955
  9   2          0.1816
  9   3          0.2500
  9   4          0.2939
  9   5          0.3090
  9   6          0.2939
  9   7          0.2500
  9   8          0.1816
  9   9          0.0955
  9  10          0.0000
 10   0          0.0000
 10   1          0.0000
 10   2          0.0000
 10   3          0.0000
 10   4          0.0000
 10   5          0.0000
 10   6          0.0000
 10   7          0.0000
 10   8          0.0000
 10   9          0.0000
 10  10          0.0000
